Date,Close,Open,High,Low,Vol
11/17/2021,60367.8,60074.2,60814.5,58531.9,73930
11/18/2021,56955.3,60368.2,60936.9,56524.4,100370
11/19/2021,58083.4,56908.3,58335.9,55626.3,74440
11/20/2021,59717.6,58080.8,59854.6,57435.3,44530
11/21/2021,58714.3,59724,60002.6,58528.3,40980
11/22/2021,56308.8,58719.7,59288.3,55656.8,76450
11/23/2021,57573.2,56304.8,57855.1,55542.5,72480
11/24/2021,57171.7,57559.4,57697.4,55910.6,56680
11/25/2021,58935.1,57167.1,59387.3,57029.8,56790
11/26/2021,53730.9,58937.3,59151.1,53533.5,104030
11/27/2021,54765.9,53747.2,55280.3,53654.3,40710
11/28/2021,57291.5,54758,57392.3,53448.3,49280
11/29/2021,57794.8,57288.1,58855.2,56726.7,58650
11/30/2021,56882.9,57795.2,59174.4,55936.9,73660
12/1/2021,57210.3,56891.7,59064.3,56496.5,66750
12/2/2021,56496,57207.8,57377.5,55807.9,54940
12/3/2021,53631.5,56495.2,57543.6,52008.9,89200
12/4/2021,49195.2,53620.7,53847.2,42587.8,168000
12/5/2021,49405.5,49196.4,49689.3,47797.8,72030
12/6/2021,50562.1,49412.1,50913.3,47237.9,89680
12/7/2021,50595.2,50547.4,51918.6,50070.9,56290
12/8/2021,50473.9,50596.6,51204.7,48700.7,55590
12/9/2021,47596.6,50477.6,50790.2,47341.9,58690
12/10/2021,47137.2,47591.7,49974.8,47007.1,68060
12/11/2021,49314.5,47138.4,49487,46834,45230
12/12/2021,50081,49332.5,50779.2,48670.5,40300
12/13/2021,46703.6,50075.9,50196.1,45848.2,80370
12/14/2021,48366.5,46709.8,48635,46338.3,62540
12/15/2021,48871.5,48366.2,49477.9,46572.6,80280
12/16/2021,47628.2,48876.6,49387.8,47543.9,48200
12/17/2021,46172.2,47630.4,47997.2,45523.8,67500
12/18/2021,46856.2,46171.8,47330.2,45513.4,36930
12/19/2021,46704.5,46855.7,48270.2,46438.4,44050
12/20/2021,46895.2,46703.4,47488.9,45577.3,57530
12/21/2021,48902,46900.1,49306.1,46654,57880
12/22/2021,48599.7,48898.7,49540.3,48449.7,40890
12/23/2021,50801,48599.6,51355.6,48053.4,56240
12/24/2021,50786.1,50807.4,51795.3,50428.4,45970
12/25/2021,50406.4,50789.6,51140.2,50196.8,26670
12/26/2021,50779.9,50404,51247,49527,32340
12/27/2021,50678.2,50783.6,52016.3,50459,43900
12/28/2021,47545.2,50703.4,50703.8,47345.7,74390
12/29/2021,46461.7,47548.4,48121.7,46127.8,63920
12/30/2021,47123.3,46470.7,47901.4,46003,60960
12/31/2021,46219.5,47123.3,48553.9,45693.6,58180
1/1/2022,47738,46217.5,47917.6,46217.5,31240
1/2/2022,47311.8,47738.7,47944.9,46718.2,27020
1/3/2022,46430.2,47293.9,47556,45704,41060
1/4/2022,45837.3,46435.7,47505.4,45602.1,55590
1/5/2022,43425.9,45833.1,47019.4,42535.1,83740
1/6/2022,43097.5,43431.6,43772.3,42481.1,63080
1/7/2022,41546.7,43097.9,43127.7,40810,88360
1/8/2022,41672,41551.3,42304.4,40574.3,52540
1/9/2022,41848.3,41681.2,42764.4,41260.9,37510
1/10/2022,41832.2,41848.9,42243.8,39697,85500
1/11/2022,42733.2,41829.1,43090.2,41287.6,61780
1/12/2022,43901,42735,44243.6,42476.7,53950
1/13/2022,42560,43900,44404.7,42337.5,53420
1/14/2022,43073.3,42562.2,43435.1,41848.7,50500
1/15/2022,43097,43073.6,43777.9,42586.1,31440
1/16/2022,43079.1,43079.2,43462,42643.3,28660
1/17/2022,42209.3,43080.5,43179.6,41559.4,41440
1/18/2022,42364.6,42209.9,42674.2,41300.7,47320
1/19/2022,41677.8,42365.3,42558,41160.9,53770
1/20/2022,40715.9,41683.6,43487.1,40568.3,65280
1/21/2022,36475.5,40698.1,41104.6,35503.9,155800
1/22/2022,35075.2,36467.7,36749.8,34116,138090
1/23/2022,36269.5,35072.9,36513,34655.2,70430
1/24/2022,36686.3,36268.6,37424,32985.6,153770
1/25/2022,36950.6,36691.3,37501.8,35729.3,79680
1/26/2022,36800.4,36962.3,38862.6,36280,107870
1/27/2022,37164.3,36800.1,37215.4,35543.2,83520
1/28/2022,37745.1,37195.6,37995.9,36176.5,69450
1/29/2022,38170.8,37736.5,38663.7,37350.2,42770
